name,nbVictims,profit
C9951829833,0,0.00
C5360137222,1,4508541.05
C2812879038,2,10789126.26
C1776788021,1,1642492.85
C6111647320,0,0.00
C7226348378,2,14235927.87
C3612183478,1,3086492.97
C3483811616,0,0.00
C2573969579,0,0.00
C6972560708,2,8643222.56
C5402463578,0,0.00
C3301472284,1,4957714.04
C3078811220,2,5310915.30
C0123488960,0,0.00
C1521011863,0,0.00
C3534921871,0,0.00
C6903833875,0,0.00
C7319022211,1,2610569.67
C7581025756,0,0.00
C0740710782,0,0.00
C7035115452,1,21.98
C9471976595,1,5114727.74
C0670289328,1,5074052.88
C2799617987,0,0.00
C0896777376,0,0.00
C6673409791,2,4637230.72
C7190557311,1,4075742.02
C3022229234,0,0.00
C8773497338,2,17164089.65
C0182276194,0,0.00
C2118377152,0,0.00
C8801510354,0,0.00
C0181266131,1,2498665.91
C9726803958,0,0.00
C9724203757,1,3787738.34
C5585108266,0,0.00
C9445553926,1,5352761.68
C6528957348,1,1632666.68
C9278134293,2,11511528.57
C0740191225,0,0.00
C1384085275,0,0.00
C1367090052,1,6003774.05
C8836382143,0,0.00
C2410939631,0,0.00
C0421925224,1,3105546.79
C4984076046,0,0.00
C9136745838,1,1804990.56
C3651758293,1,1984061.96
C7635922400,0,0.00
C4402445644,0,0.00
C3599805458,0,0.00
C1642178953,2,7980421.71
C8338303972,3,15994409.21
C4511990431,0,0.00
C6857702572,0,0.00
C3955748085,1,5713060.14
C7062278450,0,0.00
C1376619508,0,0.00
C9540112373,0,0.00
C0259178201,0,0.00
C3661541782,2,3882925.11
C0355364472,1,3241356.46
C7383242115,1,13673241.96
C1952148127,1,7655538.96
C3914033454,1,2540633.57
C3161690817,0,0.00
C2960547309,1,2436955.69
C8735486094,0,0.00
C4567324154,0,0.00
C0663820073,0,0.00
C1395191430,1,3859983.96
C9778520392,1,2084164.84
C4481377071,0,0.00
C4823845179,0,0.00
C6156247441,0,0.00
C6819886224,0,0.00
C1924427617,0,0.00
C2562827575,2,8580979.99
C9747848092,0,0.00
C3408947862,1,4002817.94
C1289934302,0,0.00
C5077258285,1,3920463.85
C0637698820,1,3718866.44
C7672609830,3,12219659.69
C8165475797,0,0.00
C5426134029,0,0.00
C7967553170,0,0.00
C7630084005,0,0.00
C0419283712,1,1663453.58
C5485174463,0,0.00
C0918897459,0,0.00
C5533431053,2,8114598.30
C9143464654,3,8582049.16
C5514267367,1,3160616.06
C7301749223,0,0.00
C5025951916,1,3462019.63
C0271232988,0,0.00
C5094628010,0,0.00
C2327178237,1,3984182.99
C9665120362,1,3628120.65
C7989632103,0,0.00
C6071538017,1,1519899.34
C9894870562,1,1577023.50
C5128960248,3,9028081.29
C3180962422,2,5620871.29
C6109698997,1,6360268.46
C4151616653,0,0.00
C4817572092,1,6097326.22
C3132445895,0,0.00
C9736973039,2,6325459.08
C4446100571,1,7118635.88
C4899011571,1,6202999.66
C6765357554,0,0.00
C6063064319,0,0.00
C5939398840,1,5320856.38
C6153025753,0,0.00
C8701453844,0,0.00
C1241834927,0,0.00
C7679129161,0,0.00
C2715842361,0,0.00
C2018524774,2,9322705.81
C7712378755,2,22331117.35
C9484634260,0,0.00
C8912141611,0,0.00
