action,month,day,hour,count,sum,avg,std,step
TRANSFER,0,0,0,2,99.03,49.51,41.74,0
CASH_OUT,0,0,0,1,79.03,79.03,0.00,0
CASH_IN,0,0,1,4255,578669143.08,135997.45,1210.15,1
PAYMENT,0,0,1,81,437712.40,5403.86,421.50,1
DEBIT,0,0,1,149,1142659.09,7668.85,452.74,1
TRANSFER,0,0,1,6,659428.09,109904.68,39712.37,1
CASH_OUT,0,0,1,24,1863839.86,77659.99,12059.98,1
CASH_IN,0,0,2,841,118164579.83,140504.85,2794.53,2
PAYMENT,0,0,2,15,107884.34,7192.29,1177.10,2
DEBIT,0,0,2,41,221084.80,5392.31,597.69,2
TRANSFER,0,0,2,1,59454.30,59454.30,0.00,2
CASH_OUT,0,0,2,5,402925.67,80585.13,22587.73,2
CASH_IN,0,0,3,9,1022825.22,113647.25,16677.36,3
PAYMENT,0,0,3,1,5220.57,5220.57,0.00,3
DEBIT,0,0,3,5,30069.21,6013.84,2938.69,3
TRANSFER,0,0,3,2,417061.10,208530.55,294798.30,3
CASH_OUT,0,0,3,2,417061.10,208530.55,294798.30,3
TRANSFER,0,0,4,4,100358.95,25089.74,28907.89,4
CASH_OUT,0,0,4,4,100358.95,25089.74,28907.89,4
TRANSFER,0,0,5,2,803554.65,401777.33,568170.66,5
CASH_OUT,0,0,5,1,803534.65,803534.65,0.00,5
CASH_IN,0,0,6,1533,208496764.62,136005.72,2052.56,6
PAYMENT,0,0,6,34,252077.13,7414.03,815.17,6
DEBIT,0,0,6,63,382623.59,6073.39,534.22,6
TRANSFER,0,0,6,2,32626.62,16313.31,23009.48,6
CASH_OUT,0,0,6,7,672698.91,96099.84,26947.80,6
CASH_IN,0,0,7,10617,1448615582.86,136443.02,766.37,7
PAYMENT,0,0,7,228,1490137.73,6535.69,239.96,7
DEBIT,0,0,7,397,2341538.34,5898.08,213.29,7
TRANSFER,0,0,7,2,111774.01,55887.01,64123.90,7
CASH_OUT,0,0,7,76,8857192.25,116542.00,7365.83,7
CASH_IN,0,0,8,28787,3930674072.84,136543.37,466.15,8
PAYMENT,0,0,8,567,4272120.01,7534.60,178.72,8
DEBIT,0,0,8,1155,10454369.11,9051.40,194.03,8
TRANSFER,0,0,8,16,2961799.54,185112.47,31482.50,8
CASH_OUT,0,0,8,245,27106371.07,110638.25,4223.95,8
CASH_IN,0,0,9,40867,5641028407.20,138033.83,391.66,9
PAYMENT,0,0,9,1122,9043720.07,8060.36,134.45,9
DEBIT,0,0,9,1742,17142290.06,9840.58,169.19,9
TRANSFER,0,0,9,101,49056600.67,485708.92,33666.30,9
CASH_OUT,0,0,9,808,106487561.49,131791.54,2541.00,9
CASH_IN,0,0,10,26120,3685081464.17,141082.75,502.56,10
PAYMENT,0,0,10,1371,11026190.26,8042.44,121.38,10
DEBIT,0,0,10,1143,12459249.19,10900.48,220.52,10
TRANSFER,0,0,10,203,108605847.00,535004.17,25278.88,10
CASH_OUT,0,0,10,1073,145115083.96,135242.39,2210.77,10
CASH_IN,0,0,11,24236,3389640539.67,139859.74,512.63,11
PAYMENT,0,0,11,1878,15645084.74,8330.72,108.01,11
DEBIT,0,0,11,1089,13553393.87,12445.72,288.63,11
TRANSFER,0,0,11,352,162175521.40,460725.91,15249.72,11
CASH_OUT,0,0,11,1693,236684656.19,139801.92,1809.32,11
CASH_IN,0,0,12,22108,3090095991.29,139772.75,536.93,12
